"A","ALIMENTARY TRACT AND METABOLISM","VOIES DIGESTIVES ET METABOLISME","ALIMENTÄRES SYSTEM UND STOFFWECHSEL"
"P01BB51","PROGUANIL, COMBINATIONS","PROGUANIL, ASSOCIATIONS","PROGUANIL, KOMBINATIONEN"
"P01BC","METHANOLQUINOLINES","METHANOLQUINOLEINES","METHANOLCHINOLINE"
"P01BC01","QUININE","QUININE","CHININ"
"P01BC02","MEFLOQUINE","MEFLOQUINE","MEFLOQUIN"
"P01BD","DIAMINOPYRIMIDINES","DIAMINOPYRIMIDINES","DIAMINOPYRIMIDINE"
"P01BD01","PYRIMETHAMINE","PYRIMETHAMINE","PYRIMETHAMIN"
"P01BD51","PYRIMETHAMINE, COMBINATIONS","PYRIMETHAMINE EN ASSOCIATION","PYRIMETHAMIN, KOMBINATIONEN"
"P01BE","ARTEMISININ AND DERIVATIVES","ARTEMISININE ET DERIVES","ARTEMISININ UND DERIVATE"
"P01BE01","ARTEMISININ","ARTEMISININE","ARTEMISININ"
"P01BE02","ARTEMETHER","ARTEMETHER","ARTEMETHER"
"P01BE03","ARTESUNATE","ARTESUNATE","ARTESUNAT"
"P01BE04","ARTEMOTIL","ARTEMOTIL","ARTEMOTIL"
"P01BE05","ARTENIMOL","ARTENIMOL","ARTENIMOL"
"P01BE52","ARTEMETHER, COMBINATIONS","ARTEMETHER EN ASSOCIATION","ARTEMETHER, KOMBINATIONEN"
"P01BX","OTHER ANTIMALARIALS","AUTRES ANTIPALUDEENS","ANDERE MALARIAMITTEL"
"P01BX01","HALOFANTRINE","HALOFANTRINE","HALOFANTRIN"
"P01C","AGENTS AGAINST LEISHMANIASIS AND TRYPANOSOMIASIS","ANTILEISHMANIENS ET TRYPANOCIDES","MITTEL GEGEN LEISHMANIASIS UND TRYPANOSOMIASIS"
"P01CA","NITROIMIDAZOLE DERIVATIVES","DERIVES DU NITROIMIDAZOLE","NITROIMIDAZOL-DERIVATE"
"P01CA02","BENZNIDAZOLE","BENZNIDAZOLE","BENZNIDAZOL"
"P01CB","ANTIMONY COMPOUNDS","MEDICAMENTS A BASE D'ANTIMOINE","ANTIMON-HALTIGE VERBINDUNGEN"
"P01CB01","MEGLUMINE ANTIMONATE","ANTIMONIATE DE MEGLUMINE","MEGLUMINANTIMONAT"
"P01CB02","SODIUM STIBOGLUCONATE","STIBOGLUCONATE SODIQUE","NATRIUMSTIBOGLUCONAT"
"P01CC","NITROFURAN DERIVATIVES","DERIVES DU NITROFURANE","NITROFURAN-DERIVATE"
"P01CC01","NIFURTIMOX","NIFURTIMOX","NIFURTIMOX"
"P01CC02","NITROFURAL","NITROFURAZONE","NITROFURAL"
"P01CD","ARSENIC COMPOUNDS","MEDICAMENTS A BASE D'ARSENIC","ARSEN-HALTIGE VERBINDUNGEN"
"P01CD01","MELARSOPROL","MELARSOPROL","MELARSOPROL"
"P01CD02","ACETARSOL","ACETARSOL","ACETARSOL"
"P01CX","OTHER AGENTS AGAINST LEISHMANIASIS AND TRYPANOSOMIASIS","AUTRES ANTILEISHMANIENS ET TRYPANOCIDES","ANDERE MITTEL GEGEN LEISHMANIASIS UND TRYPANOSOMIASIS"
"P01CX01","PENTAMIDINE ISETHIONATE","PENTAMIDINE ISETHIONATE","PENTAMIDINDIISETIONAT"
"P01CX02","SURAMIN SODIUM","SURAMINE SODIQUE","SURAMIN NATRIUM"
"P01CX03","EFLORNITHINE","EFLORNITHINE","EFLORNITHIN"
"P02","ANTHELMINTICS","ANTHELMINTHIQUES","ANTHELMINTIKA"
"P02B","ANTITREMATODALS","ANTITREMATODES","TREMATODENMITTEL"
"P02BA","QUINOLINE DERIVATIVES AND RELATED SUBSTANCES","DERIVES DE LA QUINOLEINE ET APPARENTES","CHINOLIN-DERIVATE UND VERWANDTE SUBSTANZEN"
"P02BA01","PRAZIQUANTEL","PRAZIQUANTEL","PRAZIQUANTEL"
"P02BA02","OXAMNIQUINE","OXAMNIQUINE","OXAMNIQUIN"
"P02BB","ORGANOPHOSPHOROUS COMPOUNDS","ORGANOPHOSPHORES","ORGANOPHOSPHAT-VERBINDUNGEN"
"P02BB01","METRIFONATE","METRIFONATE","METRIFONAT"
"P02BX","OTHER ANTITREMATODAL AGENTS","AUTRES ANTITREMATODES","ANDERE TREMATODENMITTEL"
"P02BX01","BITHIONOL","BITHIONOL","BITHIONOL"
"P02BX02","NIRIDAZOLE","NIRIDAZOLE","NIRIDAZOL"
"P02BX03","STIBOPHEN","STIBOPHENE","STIBOPHEN"
"P02BX04","TRICLABENDAZOLE","TRICLABENDAZOLE","TRICLABENDAZOL"
"P02C","ANTINEMATODAL AGENTS","ANTINEMATODES","NEMATODENMITTEL"
"P02CA","BENZIMIDAZOLE DERIVATIVES","DERIVES DU BENZIMIDAZOLE","BENZIMIDAZOL-DERIVATE"
"P02CA01","MEBENDAZOLE","MEBENDAZOLE","MEBENDAZOL"
"P02CA02","TIABENDAZOLE","TIABENDAZOLE","TIABENDAZOL"
"P02CA03","ALBENDAZOLE","ALBENDAZOLE","ALBENDAZOL"
"P02CA04","CICLOBENDAZOLE","CICLOBENDAZOLE","CICLOBENDAZOL"
"P02CA05","FLUBENDAZOLE","FLUBENDAZOLE","FLUBENDAZOL"
"P02CA06","FENBENDAZOLE","FENBENDAZOLE","FENBENDAZOL"
"P02CA51","MEBENDAZOLE, COMBINATIONS","MEBENDAZOLE EN ASSOCIATION","MEBENDAZOL, KOMBINATIONEN"
"P02CB","PIPERAZINE AND DERIVATIVES","PIPERAZINE ET DERIVES","PIPERAZIN UND DERIVATE"
"P02CB01","PIPERAZINE","PIPERAZINE","PIPERAZIN"
"P02CB02","DIETHYLCARBAMAZINE","DIETHYLCARBAMAZINE","DIETHYLCARBAMAZIN"
"P02CC","TETRAHYDROPYRIMIDINE DERIVATIVES","DERIVES DE LA TETRAHYDROPYRIMIDINE","TETRAHYDROPYRIMIDIN-DERIVATE"
"P02CC01","PYRANTEL","PYRANTEL","PYRANTEL"
"P02CC02","OXANTEL","OXANTEL","OXANTEL"
"P02CE","IMIDAZOTHIAZOLE DERIVATIVES","DERIVES DE L'IMIDAZOTHIAZOLE","IMIDAZOTHIAZOL-DERIVATE"
"P02CE01","LEVAMISOLE","LEVAMISOLE","LEVAMISOL"
"P02CF","AVERMECTINES","AVERMECTINES","AVERMEKTINE"
"P02CF01","IVERMECTIN","IVERMECTINE","IVERMECTIN"
"P02CX","OTHER ANTINEMATODALS","AUTRES ANTINEMATODES","ANDERE NEMATODENMITTEL"
"P02CX01","PYRVINIUM","PYRVINIUM","PYRVINIUM"
"P02CX02","BEPHENIUM","BEPHENIUM","BEPHENIUM"
"P02D","ANTICESTODALS","ANTICESTODES","BANDWURMMITTEL"
"P02DA","SALICYLIC ACID DERIVATIVES","DERIVES DE L'ACIDE SALICYLIQUE","SALICYLSÄURE-DERIVATE"
"P02DA01","NICLOSAMIDE","NICLOSAMIDE","NICLOSAMID"
"P02DX","OTHER ANTICESTODALS","AUTRES ANTICESTODES","ANDERE BANDWURMMITTEL"
"P02DX01","DESASPIDIN","DESASPIDINE","DESASPIDIN"
"P02DX02","DICHLOROPHEN","DICHLOROPHENE","DICHLOROPHEN"
"P03","ECTOPARASITICIDES, INCL. SCABICIDES, INSECTICIDES AND REPELLENTS","ANTIPARASITAIRES EXTERNES, INCLUANT SCABICIDES, INSECTICIDES","MITTEL GEGEN EKTOPARASITEN, INKL. ANTISCABIOSA, INSEKTIZIDE UND REPELLENZIEN"
"P03A","ECTOPARASITICIDES, INCL. SCABICIDES","ANTIPARASITAIRES EXTERNES, SCABICIDES INCLUS","MITTEL GEGEN EKTOPARASITEN, INKL. ANTISCABIOSA"
"P03AA","SULFUR CONTAINING PRODUCTS","DERIVES SOUFRES","SCHWEFEL-HALTIGE MITTEL"
"P03AA01","DIXANTHOGEN","DIXANTHOGENE","DIXANTHOGEN"
"P03AA02","POTASSIUM POLYSULFIDE","POTASSIUM POLYSULFURE","KALIUMPOLYSULFID"
"P03AA03","MESULFEN","MESULFENE","MESULFEN"
"P03AA04","DISULFIRAM","DISULFIRAM","DISULFIRAM"
"P03AA05","THIRAM","THIRAM","THIRAM"
"P03AA54","DISULFIRAM, COMBINATIONS","DISULFIRAM EN ASSOCIATION","DISULFIRAM, KOMBINATIONEN"
"P03AB","CHLORINE CONTAINING PRODUCTS","DERIVES CHLORES","CHLOR-HALTIGE MITTEL"
"P03AB01","CLOFENOTANE","CLOFENOTANE","CLOFENOTAN"
"P03AB02","LINDANE","LINDANE","LINDAN"
"P03AB51","CLOFENOTANE, COMBINATIONS","CLOFENOTANE EN ASSOCIATION","CLOFENOTAN, KOMBINATIONEN"
"P03AC","PYRETHRINES, INCL. SYNTHETIC COMPOUNDS","PYRETHRINES, DERIVES DE SYNTHESE INCLUS","PYRETHRINE, INKL. SYNTHETISCHE VERBINDUNGEN"
"P03AC01","PYRETHRUM","PYRETHRUM","PYRETHRUM"
"P03AC02","BIOALLETHRIN","BIOALLETHRINE","BIOALLETHRIN"
"P03AC03","PHENOTHRIN","PHENOTHRINE","PHENOTHRIN"
"P03AC04","PERMETHRIN","PERMETHRINE","PERMETHRIN"
"P03AC51","PYRETHRUM, COMBINATIONS","PYRETHRUM EN ASSOCIATION","PYRETHRUM, KOMBINATIONEN"
"P03AC52","BIOALLETHRIN, COMBINATIONS","BIOALLETHRINE EN ASSOCIATION","BIOALLETHRIN, KOMBINATIONEN"
"P03AC53","PHENOTHRIN, COMBINATIONS","PHENOTHRINE EN ASSOCIATION","PHENOTHRIN, KOMBINATIONEN"
"P03AC54","PERMETHRIN, COMBINATIONS","PERMETHRINE EN ASSOCIATION","PERMETHRIN, KOMBINATIONEN"
"P03AX","OTHER ECTOPARASITICIDES, INCL. SCABICIDES","AUTRES ANTIPARASITAIRES EXTERNES, SCABICIDES INCLUS","ANDERE MITTEL GEGEN EKTOPARASITEN, INKL. ANTISCABIOSA"
"P03AX01","BENZYL BENZOATE","BENZOATE DE BENZYLE","BENZYLBENZOAT"
"P03AX02","COPPER OLEINATE","CUIVRE OLEINATE","KUPFEROLEAT"
"P03AX03","MALATHION","MALATHION","MALATHION"
"P03AX04","QUASSIA","QUASSIA","QUASSIA"
"P03B","INSECTICIDES AND REPELLENTS","INSECTICIDES","INSEKTIZIDE UND REPELLENZIEN"
"P03BA","PYRETHRINES","PYRETHRINES","PYRETHRINE"
"P03BA01","CYFLUTHRIN","CYFLUTHRINE","CYFLUTHRIN"
"P03BA02","CYPERMETHRIN","CYPERMETHRINE","CYPERMETHRIN"
"P03BA03","DECAMETHRIN","DECAMETHRINE","DECAMETHRIN"
"P03BA04","TETRAMETHRIN","TETRAMETHRINE","TETRAMETHRIN"
"P03BX","OTHER INSECTICIDES AND REPELLENTS","AUTRES INSECTICIDES","ANDERE INSEKTIZIDE UND REPELLENZIEN"
"P03BX01","DIETHYLTOLUAMIDE","DIETHYLTOLUAMIDE","DIETHYLTOLUAMID"
"P03BX02","DIMETHYLPHTHALATE","DIMETHYLPHTALATE","DIMETHYLPHTHALAT"
"P03BX03","DIBUTYLPHTHALATE","DIBUTYLPHTALATE","DIBUTYLPHTHALAT"
"P03BX04","DIBUTYLSUCCINATE","DIBUTYLSUCCINATE","DIBUTYLSUCCINAT"
"P03BX05","DIMETHYLCARBATE","DIMETHYLCARBATE","DIMETHYLCARBAT"
"P03BX06","ETOHEXADIOL","ETOHEXADIOL","ETOHEXADIOL"
"R","RESPIRATORY SYSTEM","SYSTEME RESPIRATOIRE","RESPIRATIONSTRAKT"
"R01","NASAL PREPARATIONS","PREPARATIONS NASALES","RHINOLOGIKA"
"R01A","DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE","DECONGESTIONNANTS ET AUTRES PREPARATIONS A USAGE TOPIQUE","DEKONGESTIVA UND ANDERE RHINOLOGIKA ZUR TOPISCHEN ANWENDUNG"
"R01AA","SYMPATHOMIMETICS, PLAIN","SYMPATHOMIMETIQUES NON ASSOCIES","SYMPATHOMIMETIKA, REIN"
"R01AA02","CYCLOPENTAMINE","CYCLOPENTAMINE","CYCLOPENTAMIN"
"R01AA03","EPHEDRINE","EPHEDRINE","EPHEDRIN"
"R01AA04","PHENYLEPHRINE","PHENYLEPHRINE","PHENYLEPHRIN"
"R01AA05","OXYMETAZOLINE","OXYMETAZOLINE","OXYMETAZOLIN"
"R01AA06","TETRYZOLINE","TETRYZOLINE","TETRYZOLIN"
"R01AA07","XYLOMETAZOLINE","XYLOMETAZOLINE","XYLOMETAZOLIN"
"R01AA08","NAPHAZOLINE","NAPHAZOLINE","NAPHAZOLIN"
"R01AA09","TRAMAZOLINE","TRAMAZOLINE","TRAMAZOLIN"
"R01AA10","METIZOLINE","METIZOLINE","METIZOLIN"
"R01AA11","TUAMINOHEPTANE","TUAMINOHEPTANE","TUAMINOHEPTAN"
"R01AA12","FENOXAZOLINE","FENOXAZOLINE","FENOXAZOLIN"
"R01AA13","TYMAZOLINE","TYMAZOLINE","TYMAZOLIN"
"R01AA14","EPINEPHRINE","EPINEPHRINE","EPINEPHRIN"
"R01AB","SYMPATHOMIMETICS, COMBINATIONS EXCL. CORTICOSTEROIDS","SYMPATHOMIMETIQUES EN ASSOCIATION SAUF AUX CORTICOIDES","SYMPATHOMIMETIKA, KOMBINATIONEN EXKL. CORTICOSTEROIDE"
"R01AB01","PHENYLEPHRINE","PHENYLEPHRINE","PHENYLEPHRIN"
"R01AB02","NAPHAZOLINE","NAPHAZOLINE","NAPHAZOLIN"
"R01AB03","TETRYZOLINE","TETRYZOLINE","TETRYZOLIN"
"R01AB05","EPHEDRINE","EPHEDRINE","EPHEDRIN"
"R01AB06","XYLOMETAZOLINE","XYLOMETAZOLINE","XYLOMETAZOLIN"
"R01AB07","OXYMETAZOLINE","OXYMETAZOLINE","OXYMETAZOLIN"
"R01AB08","TUAMINOHEPTANE","TUAMINOHEPTANE","TUAMINOHEPTAN"
"R01AC","ANTIALLERGIC AGENTS, EXCL. CORTICOSTEROIDS","ANTIALLERGIQUES, CORTICOIDES EXCLUS","ANTIALLERGIKA, EXKL. CORTICOSTEROIDE"
"R01AC01","CROMOGLICIC ACID","ACIDE CROMOGLICIQUE","CROMOGLICINSÄURE"
"R01AC02","LEVOCABASTINE","LEVOCABASTINE","LEVOCABASTIN"
"R01AC03","AZELASTINE","AZELASTINE","AZELASTIN"
"R01AC04","ANTAZOLINE","ANTAZOLINE","ANTAZOLIN"
"R01AC05","SPAGLUMIC ACID","ACIDE SPAGLUMIQUE","SPAGLUMINSÄURE"
"R01AC06","THONZYLAMINE","THONZYLAMINE","THONZYLAMIN"
"R01AC07","NEDOCROMIL","NEDOCROMIL","NEDOCROMIL"
"R01AC51","CROMOGLICIC ACID, COMBINATIONS","ACIDE CROMOGLYCIQUE EN ASSOCIATION","CROMOGLICINSÄURE, KOMBINATIONEN"
"R01AD","CORTICOSTEROIDS","CORTICOIDES","CORTICOSTEROIDE"
"R01AD01","BECLOMETASONE","BECLOMETASONE","BECLOMETASON"
"R01AD02","PREDNISOLONE","PREDNISOLONE","PREDNISOLON"
"R01AD03","DEXAMETHASONE","DEXAMETHASONE","DEXAMETHASON"
"R01AD04","FLUNISOLIDE","FLUNISOLIDE","FLUNISOLID"
"R01AD05","BUDESONIDE","BUDESONIDE","BUDESONID"
"R01AD06","BETAMETHASONE","BETAMETHASONE","BETAMETHASON"
"R01AD07","TIXOCORTOL","TIXOCORTOL","TIXOCORTOL"
"R01AD08","FLUTICASONE","FLUTICASONE","FLUTICASON"
"R01AD09","MOMETASONE","MOMETASONE","MOMETASON"
"R01AD11","TRIAMCINOLONE","TRIAMCINOLONE","TRIAMCINOLON"
"R01AD52","PREDNISOLONE, COMBINATIONS","PREDNISOLONE EN ASSOCIATION","PREDNISOLON, KOMBINATIONEN"
"R01AD53","DEXAMETHASONE, COMBINATIONS","DEXAMETHASONE EN ASSOCIATION","DEXAMETHASON, KOMBINATIONEN"
"R01AD57","TIXOCORTOL, COMBINATIONS","TIXOCORTOL EN ASSOCIATION","TIXOCORTOL, KOMBINATIONEN"
"R01AD60","HYDROCORTISONE, COMBINATIONS","HYDROCORTISONE, ASSOCIATIONS","HYDROCORTISON, KOMBINATIONEN"
"R01AX","OTHER NASAL PREPARATIONS","AUTRES PREPARATIONS NASALES","ANDERE RHINOLOGIKA"
"R01AX01","CALCIUM HEXAMINE THIOCYANATE","THIOCYANATE D'HEXAMINE CALCIQUE","CALCIUMHEXAMINTHIOCYANAT"
"R01AX02","RETINOL","RETINOL","RETINOL"
"R01AX03","IPRATROPIUM BROMIDE","IPRATROPIUM BROMURE","IPRATROPIUMBROMID"
"R01AX05","RITIOMETAN","RITIOMETAN","RITIOMETAN"
"R01AX06","MUPIROCIN","MUPIROCINE","MUPIROCIN"
"R01AX07","HEXAMIDINE","HEXAMIDINE","HEXAMIDIN"
"R01AX08","FRAMYCETIN","FRAMYCETINE","FRAMYCETIN"
"R01AX10","VARIOUS","DIVERS","VERSCHIEDENE"
"R01AX30","COMBINATIONS","ASSOCIATIONS","KOMBINATIONEN"
"R01B","NASAL DECONGESTANTS FOR SYSTEMIC USE","DECONGESTIONNANTS A USAGE SYSTEMIQUE","NASALE DEKONGESTIVA ZUR SYSTEMISCHEN ANWENDUNG"
"R01BA","SYMPATHOMIMETICS","SYMPATHOMIMETIQUES","SYMPATHOMIMETIKA"
"R01BA01","PHENYLPROPANOLAMINE","PHENYLPROPANOLAMINE","PHENYLPROPANOLAMIN"
"R01BA02","PSEUDOEPHEDRINE","PSEUDOEPHEDRINE","PSEUDOEPHEDRIN"
"R01BA03","PHENYLEPHRINE","PHENYLEPHRINE","PHENYLEPHRIN"
"R01BA51","PHENYLPROPANOLAMINE, COMBINATIONS","PHENYLPROPANOLAMINE EN ASSOCIATION","PHENYLPROPANOLAMIN, KOMBINATIONEN"
"R01BA52","PSEUDOEPHEDRINE, COMBINATIONS","PSEUDOEPHEDRINE EN ASSOCIATION","PSEUDOEPHEDRIN, KOMBINATIONEN"
"R01BA53","PHENYLEPHRINE, COMBINATIONS","PHENYLEPHRINE EN ASSOCIATION","PHENYLEPHRIN, KOMBINATIONEN"
"R02","THROAT PREPARATIONS","PREPARATIONS POUR LA GORGE","HALS- UND RACHENTHERAPEUTIKA"
"R02A","THROAT PREPARATIONS","PREPARATION POUR LA GORGE","HALS- UND RACHENTHERAPEUTIKA"
"R02AA","ANTISEPTICS","ANTISEPTIQUES","ANTISEPTIKA"
"R02AA01","AMBAZONE","AMBAZONE","AMBAZON"
"R02AA02","DEQUALINIUM","DEQUALINIUM","DEQUALINIUM"
"R02AA03","DICHLOROBENZYL ALCOHOL","ALCOOL DICHLOROBENZIQUE","DICHLORBENZYLALKOHOL"
"R02AA05","CHLORHEXIDINE","CHLORHEXIDINE","CHLORHEXIDIN"
"R02AA06","CETYLPYRIDINIUM","CETYLPYRIDINIUM","CETYLPYRIDINIUM"
"R02AA09","BENZETHONIUM","BENZETHONIUM","BENZETHONIUM"
"R02AA10","MYRISTYL-BENZALKONIUM","MYRISTYL - BENZALKONIUM","MYRISTYLBENZALKONIUM"
"R02AA11","CHLORQUINALDOL","CHLORQUINALDOL","CHLORQUINALDOL"
"R02AA12","HEXYLRESORCINOL","HEXYLRESORCINOL","HEXYLRESORCINOL"
"R02AA13","ACRIFLAVINIUM CHLORIDE","CHLORURE D'ACRIFLAVINIUM","ACRIFLAVINIUMCHLORID"
"R02AA14","OXYQUINOLINE","OXYQUINOLINE","OXYCHINOLIN"
"R02AA15","POVIDONE-IODINE","POLYVIDONE IODEE","POVIDON-IOD"
"R02AA16","BENZALKONIUM","BENZALKONIUM","BENZALKONIUM"
"R02AA17","CETRIMONIUM","CETRIMONIUM","CETRIMONIUM"
"R02AA18","HEXAMIDINE","HEXAMIDINE","HEXAMIDIN"
"R02AA19","PHENOL","PHENOL","PHENOL"
"R02AA20","VARIOUS","DIVERS","VERSCHIEDENE"
"R02AB","ANTIBIOTICS","ANTIBIOTIQUES","ANTIBIOTIKA"
"R02AB01","NEOMYCIN","NEOMYCINE","NEOMYCIN"
"R02AB02","TYROTHRICIN","TYROTHRICINE","TYROTHRICIN"
"R02AB03","FUSAFUNGINE","FUSAFUNGINE","FUSAFUNGIN"
"R02AB04","BACITRACIN","BACITRACINE","BACITRACIN"
"R02AB30","GRAMICIDIN","GRAMICIDINE","GRAMICIDIN"
"R02AD","ANESTHETICS, LOCAL","ANESTHESIQUES LOCAUX","LOKALANÄSTHETIKA"
"R02AD01","BENZOCAINE","BENZOCAÏNE","BENZOCAIN"
"R02AD02","LIDOCAINE","LIDOCAÏNE","LIDOCAIN"
"R02AD03","COCAINE","COCAÏNE","COCAIN"
"R02AD04","DYCLONINE","DYCLONINE","DYCLONIN"
"R02AX","OTHER THROAT PREPARATIONS","AUTRES PREPARATIONS POUR LA GORGE","ANDERE HALS- UND RACHENTHERAPEUTIKA"
"R02AX01","FLURBIPROFEN","FLURBIPROFENE","EMSER SALZ"
"R03","DRUGS FOR OBSTRUCTIVE AIRWAY","MEDICAMENTS POUR LES SYNDROMES OBSTRUCTIFS DES VOIES AERIENNES","MITTEL BEI OBSTRUKTIVEN ATEMWEGSERKRANKUNGEN"
"R03A","ADRENERGICS, INHALANTS","ADRENERGIQUES POUR INHALATION","INHALATIVE SYMPATHOMIMETIKA"
"R03AA","ALPHA- AND BETA-ADRENORECEPTOR AGONISTS","AGONISTES ALPHA ET BETA ADRENERGIQUES","ALPHA- UND BETA-ADRENOREZEPTOR-AGONISTEN"
"R03AA01","EPINEPHRINE","EPINEPHRINE","EPINEPHRIN"
"R03AB","NON-SELECTIVE BETA-ADRENORECEPTOR AGONISTS","AGONISTES NON SELECTIFS BETA ADRENERGIQUES","NICHTSELEKTIVE BETA-ADRENOREZEPTOR-AGONISTEN"
"R03AB02","ISOPRENALINE","ISOPRENALINE","ISOPRENALIN"
"R03AB03","ORCIPRENALINE","ORCIPRENALINE","ORCIPRENALIN"
"R03AC","SELECTIVE BETA-2-ADRENORECEPTOR AGONISTS","AGONSITES SELECTIFS BETA 2 ADRENERGIQUES","SELEKTIVE BETA2-ADRENOREZEPTOR-AGONISTEN"
"R03AC02","SALBUTAMOL","SALBUTAMOL","SALBUTAMOL"
"R03AC03","TERBUTALINE","TERBUTALINE","TERBUTALIN"
"R03AC04","FENOTEROL","FENOTEROL","FENOTEROL"
"R03AC05","RIMITEROL","RIMITEROL","RIMITEROL"
"R03AC06","HEXOPRENALINE","HEXOPRENALINE","HEXOPRENALIN"
"R03AC07","ISOETARINE","ISOETARINE","ISOETARIN"
"R03AC08","PIRBUTEROL","PIRBUTEROL","PIRBUTEROL"
"R03AC09","TRETOQUINOL","TRETOQUINOL","TRETOQUINOL"
"R03AC10","CARBUTEROL","CARBUTEROL","CARBUTEROL"
"R03AC11","TULOBUTEROL","TULOBUTEROL","TULOBUTEROL"
"R03AC12","SALMETEROL","SALMETEROL","SALMETEROL"
"R03AC13","FORMOTEROL","FORMOTEROL","FORMOTEROL"
"R03AC14","CLENBUTEROL","CLENBUTEROL","CLENBUTEROL"
"R03AC15","REPROTEROL","REPROTEROL","REPROTEROL"
"R03AC16","PROCATEROL","PROCATEROL","PROCATEROL"
"R03AC17","BITOLTEROL","BITOLTEROL","BITOLTEROL"
"R03AC18","INDACATEROL","INDACATEROL","INDACATEROL"
"R03AH","COMBINATIONS OF ADRENERGICS","ASSOCIATIONS D'ADRENERGIQUES","KOMBINATIONEN VON SYMPATHOMIMETIKA"
"R03AK","ADRENERGICS AND OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES","ADRENERGIQUES ET AUTRES MEDICAMENTS POUR LES SYNDROMES OBSTRUCTIFS DES VOIES AERIENNES","SYMPATHOMIMETIKA UND ANDERE MITTEL BEI OBSTRUKTIVEN ATEMWEGSERKRANKUNGEN"
"R03AK01","EPINEPHRINE AND OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES","EPINEPHRINE ET AUTRES MEDICAMENTS POUR LES SYNDROMES OBSTRUCTIFS DES VOIES AERIENNES","EPINEPHRIN UND ANDERE MITTEL BEI OBSTRUKTIVEN ATEMWEGSERKRANKUNGEN"
"R03AK02","ISOPRENALINE AND OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES","ISOPRENALINE ET AUTRES MEDICAMENTS POUR LES SYNDROMES OBSTRUCTIFS DES VOIES AERIENNES","ISOPRENALIN UND ANDERE MITTEL BEI OBSTRUKTIVEN ATEMWEGSERKRANKUNGEN"
"R03AK03","FENOTEROL AND OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES","FENOTEROL ET AUTRES MEDICAMENTS POUR LES SYNDROMES OBSTRUCTIFS DES VOIES AERIENNES","FENOTEROL UND ANDERE MITTEL BEI OBSTRUKTIVEN ATEMWEGSERKRANKUNGEN"
"R03AK04","SALBUTAMOL AND OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES","SALBUTAMOL ET AUTRES MEDICAMENTS POUR LES SYNDROMES OBSTRUCTIFS DES VOIES AERIENNES","SALBUTAMOL UND ANDERE MITTEL BEI OBSTRUKTIVEN ATEMWEGSERKRANKUNGEN"
"R03AK05","REPROTEROL AND OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES","REPROTEROL ET AUTRES MEDICAMENTS POUR LES SYNDROMES OBSTRUCTIFS DES VOIES AERIENNES","REPROTEROL UND ANDERE MITTEL BEI OBSTRUKTIVEN ATEMWEGSERKRANKUNGEN"
"R03AK06","SALMETEROL AND OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES","SALMETEROL ET AUTRES MEDICAMENTS POUR LES SYNDROMES OBSTRUCTIFS DES VOIES AERIENNES","SALMETEROL UND ANDERE MITTEL BEI OBSTRUKTIVEN ATEMWEGSERKRANKUNGEN"
"R03AK07","FORMOTEROL AND OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES","FORMOTEROL ET AUTRES MEDICAMENTS POUR LES SYNDROMES OBSTRUCTIFS DES VOIES AERIENNES","FORMOTEROL UND ANDERE MITTEL BEI OBSTRUKTIVEN ATEMWEGSERKRANKUNGEN"
"R03B","OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS","AUTRES MEDICAMENTS POUR LES SYNDROMES OBSTRUCTIFS DES VOIES AERIENNES, PAR INHALATION","ANDERE INHALATIVE MITTEL BEI OBSTRUKTIVEN ATEMWEGSERKRANKUNGEN"
"R03BA","GLUCOCORTICOIDS","GLUCOCORTICOIDES","GLUCOCORTICOIDE"
"R03BA01","BECLOMETASONE","BECLOMETASONE","BECLOMETASON"
"R03BA02","BUDESONIDE","BUDESONIDE","BUDESONID"
"R03BA03","FLUNISOLIDE","FLUNISOLIDE","FLUNISOLID"
"R03BA04","BETAMETHASONE","BETAMETHASONE","BETAMETHASON"
"R03BA05","FLUTICASONE","FLUTICASONE","FLUTICASON"
"R03BA06","TRIAMCINOLONE","TRIAMCINOLONE","TRIAMCINOLON"
"R03BA07","MOMETASONE","MOMETASONE","MOMETASON"
"R03BA08","CICLESONIDE","CICLESONIDE","CICLESONID"
"R03BB","ANTICHOLINERGICS","ANTICHOLINERGIQUES","ANTICHOLINERGIKA"
"R03BB01","IPRATROPIUM BROMIDE","BROMURE D'IPRATROPIUM","IPRATROPIUMBROMID"
"R03BB02","OXITROPIUM BROMIDE","BROMURE D'OXITROPIUM","OXITROPIUMBROMID"
"R03BB03","STRAMONI PREPARATIONS","MEDICAMENTS A BASE DE DATURA","STECHAPFEL-HALTIGE ZUBEREITUNGEN"
"R03BB04","TIOTROPIUM BROMURE","BROMURE DE TIOTROPIUM","TIOTROPIUMBROMID"
